char,voice,text
yuu,fem_yuu_00001,その節は大変にご迷惑をおかけしまして……炎上が収まるまでは、お兄さんもさぞご心配だったと思いますし訳ありませんでした
yuu,fem_yuu_00002,それは、炎上の原因を作ったのが私だったので……相談を聞くどころか、ひよりんに会話してもらえるだけでもありがたかったです
yuu,fem_yuu_00003,本当に、すみませんでした
hiy,fem_hiy_00001,あ、じゃあ別に無理しなくていいよ。そうすれば話いかなと思っただけなので
yuu,fem_yuu_00004,私、小さい頃テレビで見たひよりんに憧れて、役者を目指そうと思ったんです。声優を目指したのも、ひよりんが活動の場を声のお仕事中心に変えたからで……
yuu,fem_yuu_00005,憧れの声優さんとかって、年の近い子を挙げると角が立つので、大御所の名前を言うようにしてるんですも、私の憧れの声優は昔からずっとひよりんです！
yuu,fem_yuu_00006,同じ事務所に入れたときは嬉しかったですけど、初めて挨拶するときは不安もあって……
yuu,fem_yuu_00007,怖い人だったらどうしようだったり、嫌われたらどうしようだったり、あれこれ考えて、理想を抱きすぎないようにって自分に言いきかせて……
yuu,fem_yuu_00008,でも本物のひよりんは、新人の私と同じトーンで接してくれて、かといって先輩風を吹かせるような馴れ馴れしさもなくて、すごく自然体な役者さんで……！
yuu,fem_yuu_00009,当時から雲の上の人だったのに、礼儀正しくて優しくて……生のひよりんは、どのドラマの役を演じてるひよりんよりも、人間として理想的でした！
yuu,fem_yuu_00010,プライベートでも交友関係でも、誰よりも自分に厳しいひよりんを間近で見て、こういう役者さんになろうって……そう思えたんです！
hiy,fem_hiy_00002,まあ出会った当初から、すんごくキラキラした目で私のこと見てくんなこの子と思ったよね。お陰で仲良くなれたのだけどさ
yuu,fem_yuu_00011,仕事先でプライベートのお誘いを受けたときの躱しかたも、ひよりんを見て学んで……私の先輩で、先生でれの存在です！
hiy,fem_hiy_00003,いやめっちゃ持ちあげるけども、普段通りでいいよ普段通りで。私と話すときみたいに
yuu,fem_yuu_00012,や、ひよりんと話すトーンで接したら、お兄さんに引かれるでしょ。いま肝心なとこなんだから黙っててってられないならひよひよ鳴いて
hiy,fem_hiy_00004,ひよひよ～、ひよひよ～
yuu,fem_yuu_00013,あははは、ほんとにひよひよ鳴いてる。あんまりひよひよ鳴くと太るぞ
hiy,fem_hiy_00005,太らねーよ！　どんな理論だよ、ダーウィンが助走つけてはっけよいで進化論ぶちかましてくんぞ。おまえこそ太ってしまえこの……美少女！
yuu,fem_yuu_00014,ひよひよ～
hiy,fem_hiy_00006,日和ってんじゃねーぞ！　腹から声出せ、もっとやる気出せ！
yuu,fem_yuu_00015,ひよりんはスタッフと適切な距離で接して……ファンと自分のキャラクターのことをいつも考えていて……仕事ひとすじで恋愛には興味がなくて
yuu,fem_yuu_00016,でもそんなひよりんが、いつもお兄さんの話を嬉しそうにするので……
